"","ID","Genes","Promoter","CpGs","DE"
"296","""3_179064863""","MFN1",TRUE,FALSE,FALSE
"297","""3_179278890""","ACTL6A",TRUE,FALSE,TRUE
"298","""3_179314384""","MRPL47;NDUFB5",TRUE,FALSE,FALSE
"299","""3_179326784""","NDUFB5;snoU13",TRUE,FALSE,FALSE
"300","""3_180319607""","RP11-496B10.3;TTC14",TRUE,FALSE,FALSE
"301","""5_1335787""","CLPTM1L",TRUE,FALSE,FALSE
"302","""5_94952477""","GPR150",TRUE,FALSE,FALSE
"303","""5_94978641""","RFESD",TRUE,FALSE,FALSE
"304","""5_98258843""","CHD1;CTD-2007H13.3",TRUE,FALSE,FALSE
"305","""5_180141974""","RNU1-17P",TRUE,FALSE,FALSE
"306","""5_180279926""","ZFP62",TRUE,FALSE,FALSE
"307","""5_180609719""","CTC-338M12.2;CTC-338M12.5",TRUE,FALSE,FALSE
"308","""6_31511143""","ATP6V1G2-DDX39B;ATP6V1G2;NFKBIL1",TRUE,FALSE,FALSE
"309","""6_31661602""","ABHD16A;MIR4646",TRUE,FALSE,FALSE
"310","""6_31672196""","LY6G6F;MEGT1",TRUE,FALSE,FALSE
"311","""6_31706940""","CLIC1;MSH5;MSH5-SAPCD1",TRUE,FALSE,TRUE
"312","""6_31720598""","MSH5;MSH5-SAPCD1;RNU6-850P",TRUE,FALSE,FALSE
"313","""6_31729710""","MSH5-SAPCD1;SAPCD1-AS1;SAPCD1;VWA7",TRUE,FALSE,FALSE
"314","""6_31742531""","VARS;VWA7;Y_RNA",TRUE,FALSE,FALSE
"315","""6_31753069""","VARS",TRUE,FALSE,FALSE
"316","""6_31774256""","LSM2",TRUE,FALSE,FALSE
"317","""6_31779405""","HSPA1A;HSPA1L",TRUE,FALSE,TRUE
"318","""6_31788101""","C6orf48;HSPA1B;SNORD48",TRUE,FALSE,FALSE
"319","""6_31803288""","C6orf48;SNORD52",TRUE,FALSE,FALSE
"320","""6_31824998""","NEU1",TRUE,FALSE,FALSE
"321","""6_31836415""","SLC44A4",TRUE,FALSE,FALSE
"322","""6_31851517""","EHMT2-AS1;EHMT2",TRUE,FALSE,FALSE
"323","""6_41191557""","RNA5SP207;TREML4",TRUE,FALSE,FALSE
"324","""6_41686757""","PGC;RP11-298J23.5;TFEB",TRUE,FALSE,FALSE
"325","""6_41746526""","FRS3;PRICKLE4",TRUE,FALSE,FALSE
"326","""6_41752785""","FRS3;TOMM6",TRUE,FALSE,FALSE
"327","""6_42461171""","RP11-256G5.1;snoU13",TRUE,FALSE,FALSE
"328","""6_117001890""","KPNA5",TRUE,FALSE,FALSE
"329","""6_166619663""","RNU6-153P",TRUE,FALSE,FALSE
"330","""6_166715895""","PRR18",TRUE,FALSE,FALSE
"331","""6_166755499""","SFT2D1",TRUE,FALSE,FALSE
"332","""6_167367477""","RNASET2;RP11-514O12.4",TRUE,FALSE,FALSE
"333","""6_167406942""","FGFR1OP;MIR3939;RP11-517H2.6;RP1-167A14.2",TRUE,FALSE,FALSE
"334","""7_3200654""","AC091801.1",TRUE,FALSE,FALSE
"335","""7_5489147""","AC092171.4;snoU13",TRUE,FALSE,FALSE
"336","""8_10638877""","SNORD112",TRUE,FALSE,FALSE
"337","""8_143750032""","JRK;PSCA",TRUE,FALSE,FALSE
"338","""8_144231111""","LY6H",TRUE,FALSE,FALSE
"339","""9_134041850""","RP11-544A12.4",TRUE,FALSE,FALSE
"340","""1_3768441""","CEP104;DFFB",TRUE,TRUE,FALSE
"341","""1_221051343""","HLA-AS1;HLX",TRUE,TRUE,FALSE
"342","""1_230991032""","C1orf198",TRUE,TRUE,FALSE
"343","""10_134593579""","NKX6-2;RP11-288G11.3",TRUE,TRUE,FALSE
"344","""11_20063907""","NAV2-AS2",TRUE,TRUE,FALSE
"345","""11_66823222""","RHOD",TRUE,TRUE,FALSE
"346","""12_889721""","RNU4ATAC16P",TRUE,TRUE,FALSE
"347","""13_30156185""","SLC7A1",TRUE,TRUE,FALSE
"348","""17_2546290""","snoU13",TRUE,TRUE,FALSE
"349","""19_2245818""","AMH",TRUE,TRUE,FALSE
"350","""2_31454060""","CAPN14;EHD3",TRUE,TRUE,FALSE
"351","""2_242119937""","ANO7",TRUE,TRUE,FALSE
"352","""20_30406625""","MYLK2",TRUE,TRUE,FALSE
"353","""20_61897326""","ARFGAP1;NKAIN4",TRUE,TRUE,FALSE
"354","""3_49017804""","ARIH2;P4HTM;RP13-131K19.1;RP13-131K19.2;RP13-131K19.7",TRUE,TRUE,FALSE
"355","""5_180581804""","OR2V2",TRUE,TRUE,FALSE
"356","""7_2981215""","AC004906.3",TRUE,TRUE,FALSE
"357","""7_5220520""","WIPI2",TRUE,TRUE,FALSE
"358","""7_100544889""","MUC3A;RP11-395B7.2",TRUE,TRUE,FALSE
"359","""8_10522736""","C8orf74;MIR4286",TRUE,TRUE,FALSE
"360","""1_1206874""","RP5-902P8.10;UBE2J2",TRUE,FALSE,FALSE
"361","""1_1239426""","ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3",TRUE,FALSE,FALSE
"362","""1_3522935""","MEGF6",TRUE,FALSE,FALSE
