"baitName","oeName"
"CENPN;CMC2","GAN;RP11-55K13.1"
"CENPN;CMC2","PLCG2"
"CMIP","WWOX"
"CMIP","PLCG2"
"FBXO31;MAP1LC3B","COX4I1;EMC8"
"FBXO31;MAP1LC3B","FOXC2;RP11-463O9.5"
"FBXO31;MAP1LC3B","C16orf95;RP11-178L8.7"
"FBXO31;MAP1LC3B","KLHDC4"
"FBXO31;MAP1LC3B","BANP;CA5A;CTD-3057O21.1"
"CTU2;MIR4722;PIEZO1;RNF166;RP5-1142A6.9","PIEZO1"
"CTU2;MIR4722;PIEZO1;RNF166;RP5-1142A6.9","CDH15;RP11-46C24.3"
"CTU2;MIR4722;PIEZO1;RNF166;RP5-1142A6.9","RP11-46C24.7;ZNF778"
"AC092384.1;APRT;CDT1;GALNS","PIEZO1"
"AC092384.1;APRT;CDT1;GALNS","CDH15;RP11-46C24.3"
"AC092384.1;APRT;CDT1;GALNS","RP11-46C24.7;ZNF778"
"ACSF3","PABPN1L"
"ACSF3","CBFA2T3;RP11-830F9.6;RP11-830F9.7"
"FAM101B;RP5-1029F21.3","AC108004.3;C17orf97"
"FAM101B;RP5-1029F21.3","AC108004.3"
"CRK;MYO1C","BHLHA9;TUSC5"
"CRK;MYO1C","YWHAE"
"CRK;MYO1C","INPP5K;MYO1C"
"CRK;MYO1C","INPP5K;PITPNA-AS1"
"CRK;MYO1C","PITPNA"
"CRK;MYO1C","snoU13"
"CRK;MYO1C","SLC43A2"
"CRK;MYO1C","MIR22HG;WDR81"
"CRK;MYO1C","AC130689.1;RPA1;SMYD4"
"CRK;MYO1C","HNRNPA1P16;SMG6;SRR"
"CRK;MYO1C","SNORD91A;SNORD91B"
"CRK;MYO1C","SGSM2;TSR1"
"CRK;MYO1C","AC006435.1;METTL16"
"CLUH;RP11-74E22.3","MNT"
"CLUH;RP11-74E22.3","AC006435.1;METTL16"
"ASGR2","SLC16A11"
"ASGR2","CLEC10A"
"ASGR2","ACAP1"
"ASGR2","TNFSF12;TNFSF12-TNFSF13"
"AC113189.5;CD68;EIF4A1;MPDU1;SNORA48;SNORA67;SNORD10","BCL6B"
"AC113189.5;CD68;EIF4A1;MPDU1;SNORA48;SNORA67;SNORD10","SLC16A13"
"AC113189.5;CD68;EIF4A1;MPDU1;SNORA48;SNORA67;SNORD10","ACADVL;DLG4"
"AC113189.5;CD68;EIF4A1;MPDU1;SNORA48;SNORA67;SNORD10","CTD-2545G14.7;CTDNEP1;DVL2;GABARAP;PHF23"
"AC113189.5;CD68;EIF4A1;MPDU1;SNORA48;SNORA67;SNORD10","CTDNEP1;ELP5"
"AC113189.5;CD68;EIF4A1;MPDU1;SNORA48;SNORA67;SNORD10","CLDN7;ELP5;RP1-4G17.5;Y_RNA"
"AC113189.5;CD68;EIF4A1;MPDU1;SNORA48;SNORA67;SNORD10","RP1-4G17.2;SLC2A4;YBX2"
"AC113189.5;CD68;EIF4A1;MPDU1;SNORA48;SNORA67;SNORD10","EIF5A;GPS2"
"AC113189.5;CD68;EIF4A1;MPDU1;SNORA48;SNORA67;SNORD10","GPS2;NEURL4;RP11-542C16.2"
"AC113189.5;CD68;EIF4A1;MPDU1;SNORA48;SNORA67;SNORD10","AC026954.6;NEURL4"
"AC113189.5;CD68;EIF4A1;MPDU1;SNORA48;SNORA67;SNORD10","ACAP1"
"AC113189.5;CD68;EIF4A1;MPDU1;SNORA48;SNORA67;SNORD10","ACAP1;KCTD11"
"AC113189.5;CD68;EIF4A1;MPDU1;SNORA48;SNORA67;SNORD10","C17orf61-PLSCR3;NLGN2;TMEM256;TMEM256-PLSCR3"
"AC113189.5;CD68;EIF4A1;MPDU1;SNORA48;SNORA67;SNORD10","FGF11;RP11-104H15.10;RP11-104H15.8;RP11-104H15.9;TMEM102"
"AC113189.5;CD68;EIF4A1;MPDU1;SNORA48;SNORA67;SNORD10","RP11-199F11.2;WRAP53"
"AC113189.5;CD68;EIF4A1;MPDU1;SNORA48;SNORA67;SNORD10","TP53;WRAP53"
"PIPOX","PHF12;PIPOX;SEZ6"
"SLC4A1","AC003102.3;RUNDC3A"
"SLC4A1","SLC25A39"
"ACBD4;HEXIM1;PLCD3","AC015936.3;GFAP"
"ACBD4;HEXIM1;PLCD3","CTD-2020K17.1;FMNL1"
"LRRC59","COL1A1"
"LRRC59","ACSF2;CHAD"
"LRRC59","RSAD1"
"LIMD2;MAP3K3","MAP3K3"
"EXOC7","MRPL38;RP11-552F3.12"
"EXOC7","UBALD2"
"EXOC7","QRICH2"
"EXOC7","SPHK1"
"TMC6;TMC8","MFSD11;MIR636;SRSF2"
"TMC6;TMC8","RP11-285E9.6;SEPT9"
"TMC6;TMC8","SEPT9"
"TMC6;TMC8","Y_RNA"
"TMC6;TMC8","TNRC6C"
"TMC6;TMC8","TNRC6C-AS1"
"TMC6;TMC8","C17orf99;EIF5AP2;SYNGR2"
"TMC6;TMC8","AFMID;TK1"
"TMC6;TMC8","TMEM235"
"TMC6;TMC8","RP11-806H10.4;SOCS3"
"TMC6;TMC8","PGS1"
"TMC6;TMC8","PGS1;SNORA30"
"TMC6;TMC8","RNU6-638P"
"TMC6;TMC8","USP36"
"TMC6;TMC8","CBX8;RP11-353N14.1"
"AC100791.2;RP11-353N14.2","LHX1;RP11-445F12.1"
"AC100791.2;RP11-353N14.2","HOXB8"
"AC100791.2;RP11-353N14.2","MIR3185;PRAC1;PRAC2"
"AC100791.2;RP11-353N14.2","CBX8;RP11-353N14.1"
"AC100791.2;RP11-353N14.2","RP11-1055B8.6;RP11-1055B8.7"
"AC100791.2;RP11-353N14.2","AC139149.1;ACTG1;RP13-766D20.1;RP13-766D20.2"
"BAIAP2-AS1;BAIAP2;CTD-2561B21.10","CTD-2047H16.4;ENDOV"
"BAIAP2-AS1;BAIAP2;CTD-2561B21.10","C17orf89;ENTHD2"
"CD7;SECTM1","DCXR;RP13-650J16.1"
"CD7;SECTM1","CCDC57;RP13-516M14.2;SLC16A3"
"CABYR","ANKRD29"
"LINGO3","CSNK1G2-AS1;CSNK1G2"
"LINGO3","BTBD2"
"LINGO3","MIR1227;PLEKHJ1"
"LINGO3","PLEKHJ1;SF3A2"
"LINGO3","C19orf35"
"LINGO3","LSM7;SPPL2B"
"ANKRD24;CREB3L3;SIRT6","ATCAY"
"ANKRD24;CREB3L3;SIRT6","EEF2;SNORD37"
"CTB-50L17.14;LRG1;PLIN5;RN7SL121P;SEMA6B","FSD1;TMIGD2"
"CTB-50L17.14;LRG1;PLIN5;RN7SL121P;SEMA6B","CHAF1A;SH3GL1"
"EIF3G;P2RY11;PPAN;PPAN-P2RY11;SNORD105B;SNORD105","ZNF121"
"EIF3G;P2RY11;PPAN;PPAN-P2RY11;SNORD105B;SNORD105","FBXL12;UBL5"
"EIF3G;P2RY11;PPAN;PPAN-P2RY11;SNORD105B;SNORD105","OLFM2"
